Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371011101","15000US060371011101","Block Group 1","Block Group 1, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014303",,,,,"06","037",,,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80985.9797297297
"060371011102","15000US060371011102","Block Group 2","Block Group 2, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014304",,,,,"06","037",,,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63012.1160409556
"060371011103","15000US060371011103","Block Group 3","Block Group 3, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014305",,,,,"06","037",,,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89837.2795969773
"060371011221","15000US060371011221","Block Group 1","Block Group 1, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014306",,,,,"06","037",,,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120353.985507246
"060371011222","15000US060371011222","Block Group 2","Block Group 2, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014307",,,,,"06","037",,,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104108.884297521
"060371012101","15000US060371012101","Block Group 1","Block Group 1, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014308",,,,,"06","037",,,,"101210","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54597.345971564
"060371012102","15000US060371012102","Block Group 2","Block Group 2, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014309",,,,,"06","037",,,,"101210","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60439.694041868
"060371012201","15000US060371012201","Block Group 1","Block Group 1, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014310",,,,,"06","037",,,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59502.0501138952
"060371012202","15000US060371012202","Block Group 2","Block Group 2, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014311",,,,,"06","037",,,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63320.5882352941
"060371013001","15000US060371013001","Block Group 1","Block Group 1, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014312",,,,,"06","037",,,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95604.0425531915
