Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,PCT_SE_B04001_002,PCT_SE_B04001_003,PCT_SE_B04001_004,PCT_SE_B04001_005,PCT_SE_B04001_006,PCT_SE_B04001_007,PCT_SE_B04001_008,PCT_SE_B04001_009,PCT_SE_B04001_010
"060371011101","15000US060371011101","Block Group 1","Block Group 1, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014303",,,,,"06","037",,,,"101110","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,1208,1068,8,0,44,0,0,88,480,71.56,63.27,0.47,0,2.61,0,0,5.21,28.44
"060371011102","15000US060371011102","Block Group 2","Block Group 2, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014304",,,,,"06","037",,,,"101110","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614,1069,841,11,3,179,3,8,24,545,66.23,52.11,0.68,0.19,11.09,0.19,0.5,1.49,33.77
"060371011103","15000US060371011103","Block Group 3","Block Group 3, Census Tract 1011.10, Los Angeles County, California","ca","150","00","ACSSF","0014305",,,,,"06","037",,,,"101110","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981,818,707,0,0,108,0,0,3,163,83.38,72.07,0,0,11.01,0,0,0.31,16.62
"060371011221","15000US060371011221","Block Group 1","Block Group 1, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014306",,,,,"06","037",,,,"101122","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,2044,1812,74,15,100,0,0,43,112,94.81,84.04,3.43,0.7,4.64,0,0,1.99,5.19
"060371011222","15000US060371011222","Block Group 2","Block Group 2, Census Tract 1011.22, Los Angeles County, California","ca","150","00","ACSSF","0014307",,,,,"06","037",,,,"101122","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249,1214,1070,0,0,120,0,0,24,35,97.2,85.67,0,0,9.61,0,0,1.92,2.8
"060371012101","15000US060371012101","Block Group 1","Block Group 1, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014308",,,,,"06","037",,,,"101210","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047,1843,1535,42,0,252,0,0,14,1204,60.49,50.38,1.38,0,8.27,0,0,0.46,39.51
"060371012102","15000US060371012102","Block Group 2","Block Group 2, Census Tract 1012.10, Los Angeles County, California","ca","150","00","ACSSF","0014309",,,,,"06","037",,,,"101210","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,1888,1451,156,0,234,0,47,0,1412,57.21,43.97,4.73,0,7.09,0,1.42,0,42.79
"060371012201","15000US060371012201","Block Group 1","Block Group 1, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014310",,,,,"06","037",,,,"101220","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,832,706,0,0,69,0,0,57,294,73.89,62.7,0,0,6.13,0,0,5.06,26.11
"060371012202","15000US060371012202","Block Group 2","Block Group 2, Census Tract 1012.20, Los Angeles County, California","ca","150","00","ACSSF","0014311",,,,,"06","037",,,,"101220","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576,1506,1106,87,0,272,0,0,41,1070,58.46,42.93,3.38,0,10.56,0,0,1.59,41.54
"060371013001","15000US060371013001","Block Group 1","Block Group 1, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014312",,,,,"06","037",,,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,1208,1102,49,0,42,0,0,15,75,94.15,85.89,3.82,0,3.27,0,0,1.17,5.85
