Row #,Facility,Latitude,Longitude,Total On- and Off-site Disposal or Other Releases
1,"3M CO - MONROVIA TAPE.1601 S SHAMROCK AVE, MONROVIA CALIFORNIA 91016 (LOS ANGELES)",34.134,-117.991,"2,331.60"
2,"3M UNITEK.2724 SOUTH PECK ROAD, MONROVIA CALIFORNIA 91016 (LOS ANGELES)",34.115,-118.004,"1,548.40"
3,"A&A READY MIXED CONCRETE INC.100 E. REDONDO BEACH BLVD., GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.893,-118.276,0
4,"A&A READY MIXED CONCRETE INC.134 W. REDONDO BEACH BLVD., GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.893,-118.278,0
5,"A&A READY MIXED CONCRETE INC.900 E. PATTERSON STREET, SIGNAL HILL CALIFORNIA 90755 (LOS ANGELES)",33.807,-118.182,0
6,"ACCURATE ENGINEERING CORP.8710 TELFAIR AVE, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.227,-118.387,6.1
7,"ACE CLEARWATER ENTERPRISES INC.14105 S GARFIELD AVE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)",33.905,-118.169,12.423458
8,"ACTIVE MAGNETIC INSPECTION INC.9356 1/2 SAN FERNANDO ROAD, UNIT B, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.239,-118.393,15
9,"AERO CHROME PLATING.14660 ARMINTA ST, PANORAMA CITY CALIFORNIA 91402 (LOS ANGELES)",34.213,-118.452,0
10,"AERO-ELECTRIC CONNECTOR INC.518 AMAPOLA AVE, TORRANCE CALIFORNIA 90501 (LOS ANGELES)",33.843,-118.323,"9,986.00"
11,"AEROCRAFT HEAT TREATING CO INC.15701 MINNESOTA AVENUE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)",33.89,-118.167,"7,344.00"
12,"AEROSPACE DYNAMICS INTERNATIONAL INC.25540 RYE CANYON RD, VALENCIA CALIFORNIA 91355 (LOS ANGELES)",34.434,-118.583,29
